Time	Pitot	Thrust	AX	AY	AZ
23845	11.00	10.00	-8.77	-1.91	-2.55
23914	0.00	0.00	-8.75	-1.94	-2.64
23945	5.00	5.00	-8.72	-1.92	-2.65
23974	13.00	12.00	-8.74	-1.95	-2.66
24034	4.00	3.00	-8.78	-1.94	-2.62
24085	4.00	3.00	-8.73	-1.92	-2.67
24115	7.00	6.00	-8.76	-1.90	-2.63
24145	10.00	9.00	-8.73	-1.97	-2.61
24204	5.00	4.00	-8.76	-1.97	-2.65
24235	9.00	8.00	-8.72	-1.89	-2.71
24294	0.00	0.00	-8.74	-1.92	-2.71
24384	2.00	1.00	-8.73	-1.94	-2.68
24425	4.00	3.00	-8.71	-1.97	-2.66
24455	11.00	10.00	-8.73	-1.90	-2.63
24485	15.00	13.00	-8.81	-2.01	-2.67
24555	3.00	2.00	-8.82	-1.96	-2.68
24585	9.00	8.00	-8.73	-1.93	-2.68
24615	10.00	9.00	-8.70	-1.95	-2.67
24674	4.00	3.00	-8.75	-2.01	-2.61
24715	3.00	2.00	-8.76	-1.99	-2.70
24744	7.00	6.00	-8.80	-1.90	-2.69
24775	13.00	12.00	-8.74	-1.96	-2.67
24845	0.00	0.00	-8.73	-1.95	-2.63
24875	8.00	7.00	-8.72	-1.95	-2.65
24905	14.00	13.00	-8.77	-1.96	-2.64
